long,lat,group,order,region,subregion
-85.66291809082031,31.816347122192383,3,179,alabama,barbour
-85.67438507080078,31.839265823364258,3,180,alabama,barbour
-85.66865539550781,31.873641967773438,3,181,alabama,barbour
-85.66865539550781,31.879371643066406,3,182,alabama,barbour
-85.6457290649414,31.90229034423828,3,183,alabama,barbour
-85.61708068847656,31.94812774658203,3,184,alabama,barbour
-85.59989166259766,31.959585189819336,3,185,alabama,barbour
-85.59416198730469,31.993961334228516,3,186,alabama,barbour
-85.58271026611328,32.00542449951172,3,187,alabama,barbour
-85.57124328613281,32.01115417480469,3,188,alabama,barbour
-85.513946533203125,32.01115417480469,3,189,alabama,barbour
-85.513946533203125,32.01688003540039,3,190,alabama,barbour
-85.48530578613281,32.01688003540039,3,191,alabama,barbour
-85.47956848144531,32.0340690612793,3,192,alabama,barbour
-85.4681167602539,32.0340690612793,3,193,alabama,barbour
-85.4681167602539,32.01688003540039,3,194,alabama,barbour
-85.428009033203125,32.028343200683594,3,195,alabama,barbour
-85.43373107910156,32.14866256713867,3,196,alabama,barbour
-85.26185607910156,32.15439224243164,3,197,alabama,barbour
-85.23892974853516,32.131473541259766,3,198,alabama,barbour
-85.25611877441406,32.1257438659668,3,199,alabama,barbour
-85.25611877441406,32.11428451538086,3,200,alabama,barbour
-85.22747039794922,32.11428451538086,3,201,alabama,barbour
-85.17591094970703,32.06844711303711,3,202,alabama,barbour
-85.11860656738281,32.06844711303711,3,203,alabama,barbour
-85.11287689208984,32.074180603027344,3,204,alabama,barbour
-85.1014175415039,32.074180603027344,3,205,alabama,barbour
-85.1014175415039,32.06844711303711,3,206,alabama,barbour
-85.061309814453125,32.06271743774414,3,207,alabama,barbour
-85.061309814453125,32.028343200683594,3,208,alabama,barbour
-85.061309814453125,31.993961334228516,3,209,alabama,barbour
-85.07850646972656,31.959585189819336,3,210,alabama,barbour
-85.107147216796875,31.93666648864746,3,211,alabama,barbour
-85.14152526855469,31.8679141998291,3,212,alabama,barbour
-85.13580322265625,31.787696838378906,3,213,alabama,barbour
-85.152984619140625,31.787696838378906,3,214,alabama,barbour
-85.181640625,31.764781951904297,3,215,alabama,barbour
-85.198822021484375,31.759050369262695,3,216,alabama,barbour
-85.21601867675781,31.741863250732422,3,217,alabama,barbour
-85.22174835205078,31.713212966918945,3,218,alabama,barbour
-85.428009033203125,31.713212966918945,3,219,alabama,barbour
-85.428009033203125,31.615812301635742,3,220,alabama,barbour
-87.02082824707031,32.83620834350586,4,222,alabama,bibb
-87.30731201171875,32.841941833496094,4,223,alabama,bibb
-87.30731201171875,32.876319885253906,4,224,alabama,bibb
-87.416168212890625,32.876319885253906,4,225,alabama,bibb
-87.41043853759766,33.00236892700195,4,226,alabama,bibb
-87.30158233642578,33.01382827758789,4,227,alabama,bibb
-87.30158233642578,33.082584381103516,4,228,alabama,bibb
-87.29011535644531,33.111228942871094,4,229,alabama,bibb
-87.25574493408203,33.1398811340332,4,230,alabama,bibb
-87.24427795410156,33.1398811340332,4,231,alabama,bibb
-87.1869888305664,33.145606994628906,4,232,alabama,bibb
-87.18125915527344,33.16279983520508,4,233,alabama,bibb
-87.18125915527344,33.18571853637695,4,234,alabama,bibb
-87.17552947998047,33.21436309814453,4,235,alabama,bibb
-87.146881103515625,33.22582244873047,4,236,alabama,bibb
-87.14115142822266,33.243011474609375,4,237,alabama,bibb
-87.12969207763672,33.243011474609375,4,238,alabama,bibb
-87.11250305175781,33.243011474609375,4,239,alabama,bibb
-87.10677337646484,33.23155212402344,4,240,alabama,bibb
-87.078125,33.243011474609375,4,241,alabama,bibb
-87.0609359741211,33.248741149902344,4,242,alabama,bibb
-87.02655792236328,33.248741149902344,4,243,alabama,bibb
-87.02655792236328,33.23155212402344,4,244,alabama,bibb
-87.03229522705078,33.21436309814453,4,245,alabama,bibb
-87.02655792236328,33.202903747558594,4,246,alabama,bibb
-87.02655792236328,33.17425537109375,4,247,alabama,bibb
-87.02655792236328,33.16279983520508,4,248,alabama,bibb
-87.01509857177734,33.157066345214844,4,249,alabama,bibb
-86.98645782470703,33.157066345214844,4,250,alabama,bibb
-86.98072052001953,33.145606994628906,4,251,alabama,bibb
-86.98645782470703,33.11696243286133,4,252,alabama,bibb
-86.9692611694336,33.09977340698242,4,253,alabama,bibb
-86.9692611694336,33.08831024169922,4,254,alabama,bibb
-86.93488311767578,33.05966567993164,4,255,alabama,bibb
-86.9119644165039,33.05393600463867,4,256,alabama,bibb
-86.9005126953125,33.0482063293457,4,257,alabama,bibb
-86.9005126953125,33.04247283935547,4,258,alabama,bibb
-86.88331604003906,33.036746978759766,4,259,alabama,bibb
-86.8775863647461,32.841941833496094,4,260,alabama,bibb
-87.02082824707031,32.83620834350586,4,261,alabama,bibb
-86.95780181884766,33.8618049621582,5,263,alabama,blount
-86.94062042236328,33.87899398803711,5,264,alabama,blount
-86.92915344238281,33.87899398803711,5,265,alabama,blount
-86.9119644165039,33.87899398803711,5,266,alabama,blount
-86.9119644165039,33.89045333862305,5,267,alabama,blount
-86.9119644165039,33.91337203979492,5,268,alabama,blount
-86.89478302001953,33.92483139038086,5,269,alabama,blount
-86.88904571533203,33.92483139038086,5,270,alabama,blount
-86.8775863647461,33.9362907409668,5,271,alabama,blount
-86.85467529296875,33.9362907409668,5,272,alabama,blount
-86.84320831298828,33.942020416259766,5,273,alabama,blount
-86.84320831298828,33.94774627685547,5,274,alabama,blount
-86.83174896240234,33.9534797668457,5,275,alabama,blount
-86.81456756591797,33.94774627685547,5,276,alabama,blount
-86.77445983886719,33.970664978027344,5,277,alabama,blount
-86.76300048828125,33.99358367919922,5,278,alabama,blount
-86.74581146240234,34.00504684448242,5,279,alabama,blount
-86.72862243652344,34.010772705078125,5,280,alabama,blount
-86.7171630859375,34.03369140625,5,281,alabama,blount
-86.6999740600586,34.03942108154297,5,282,alabama,blount
-86.68278503417969,34.07379913330078,5,283,alabama,blount
-86.68278503417969,34.096717834472656,5,284,alabama,blount
-86.648406982421875,34.096717834472656,5,285,alabama,blount
-86.63694763183594,34.11963653564453,5,286,alabama,blount
-86.62548828125,34.1253662109375,5,287,alabama,blount
-86.58538055419922,34.142555236816406,5,288,alabama,blount
-86.58538055419922,34.15401077270508,5,289,alabama,blount
-86.5510025024414,34.18266296386719,5,290,alabama,blount
-86.54527282714844,34.194122314453125,5,291,alabama,blount
-86.54527282714844,34.2227668762207,5,292,alabama,blount
-86.52808380126953,34.234230041503906,5,293,alabama,blount
-86.52235412597656,34.24568557739258,5,294,alabama,blount
-86.510894775390625,34.257144927978516,5,295,alabama,blount
-86.49371337890625,34.26860427856445,5,296,alabama,blount
-86.48224639892578,34.26860427856445,5,297,alabama,blount
-86.45360565185547,34.26860427856445,5,298,alabama,blount
-86.38484191894531,34.188392639160156,5,299,alabama,blount
-86.333282470703125,34.13682556152344,5,300,alabama,blount
-86.32182312011719,34.11963653564453,5,301,alabama,blount
-86.31036376953125,34.11390686035156,5,302,alabama,blount
-86.30463409423828,34.096717834472656,5,303,alabama,blount
-86.31609344482422,34.08525848388672,5,304,alabama,blount
-86.32182312011719,34.062339782714844,5,305,alabama,blount
-86.32755279541016,34.016502380371094,5,306,alabama,blount
-86.32755279541016,34.00504684448242,5,307,alabama,blount
-86.356201171875,33.96493911743164,5,308,alabama,blount
-86.36193084716797,33.9534797668457,5,309,alabama,blount
-86.35047149658203,33.9534797668457,5,310,alabama,blount
-86.333282470703125,33.94774627685547,5,311,alabama,blount
-86.35047149658203,33.92483139038086,5,312,alabama,blount
-86.35047149658203,33.901912689208984,5,313,alabama,blount
-86.36193084716797,33.89045333862305,5,314,alabama,blount
-86.38484191894531,33.87899398803711,5,315,alabama,blount
-86.43067932128906,33.83315658569336,5,316,alabama,blount
-86.4478759765625,33.83315658569336,5,317,alabama,blount
-86.47078704833984,33.82742691040039,5,318,alabama,blount
-86.48224639892578,33.810237884521484,5,319,alabama,blount
-86.52808380126953,33.810237884521484,5,320,alabama,blount
-86.56819152832031,33.810237884521484,5,321,alabama,blount
-86.56819152832031,33.77586364746094,5,322,alabama,blount
-86.63121795654297,33.77586364746094,5,323,alabama,blount
-86.7343521118164,33.850345611572266,5,324,alabama,blount
-86.88904571533203,33.856075286865234,5,325,alabama,blount
-86.9119644165039,33.82170104980469,5,326,alabama,blount
-86.94062042236328,33.810237884521484,5,327,alabama,blount
-86.94635009765625,33.850345611572266,5,328,alabama,blount
-86.95780181884766,33.850345611572266,5,329,alabama,blount
-86.95780181884766,33.856075286865234,5,330,alabama,blount
-86.95780181884766,33.8618049621582,5,331,alabama,blount
-85.66865539550781,31.879371643066406,6,333,alabama,bullock
-85.7947006225586,31.89082908630371,6,334,alabama,bullock
-85.7947006225586,31.971046447753906,6,335,alabama,bullock
-85.87491607666016,31.976774215698242,6,336,alabama,bullock
-85.88636779785156,32.00542449951172,6,337,alabama,bullock
-85.89210510253906,32.00542449951172,6,338,alabama,bullock
-85.89783477783203,32.05698776245117,6,339,alabama,bullock
-85.91502380371094,32.05698776245117,6,340,alabama,bullock
-85.9207534790039,32.06271743774414,6,341,alabama,bullock
-85.93794250488281,32.06844711303711,6,342,alabama,bullock
-85.94367218017578,32.074180603027344,6,343,alabama,bullock
